,text,weight
390, Khách 2617: E cao m58 nặng 47 kg, 47 kg
391, Khách 2617: Mình 47kg cao 1m 58,47kg 
392, Khách 2661: Chị 55kg cao 1m57,55kg 
393, Khách 2665: 45kg 1m57,45kg 
394, Khách 2682: Còn váy này ko em ? Sz L  56 k cao 164 vừa ko ?,56 k
395, Khách 2705: E 57kg 1m60, 57kg
396, Khách 2708: 53 ky 1m 50,53 ky
397,Khách 3324: 53kg cao 1m50,53kg
398,"Khách 3340: 1m6, 49kg",49kg
399,Khách 3341: 60kg 1m56,60kg
400,Khách 3342: 3 45kg 1m52,45kg
401,Khách 3344: E nặng 53kg cao 1m64 mang size gì v shop,53kg
402,"Khách 3345: 1m63,56kg",56kg
403,Khách 3349: 50kg vòng eo 78cm thì size gì ạ,50kg
404,Khách 3369: 1m66 48kg ạ,48kg
405,Khách 3370: 1m55 nặng 50kg ạ,50kg
406,Khách 3383: 37kg 1m56 ạ,37kg
407,Khách 3387: 63ki met 58 mặc vừa hk ạ,63ki
408,Khách 3418: Em nặng67 cân cao 159,67 cân
409,Khách 3421: 1m58 nặng 53kg,53kg
410,"Khách 3423: E cao 1m56, 42kg có vừa không chị",42kg
411,Khách 3427: E cao mét 50 nặng 42 kg mặc được ko ạ,42 kg
412,Khách 3428: Em nặng có 39kg cao 1m56 thì mặc size S bên shop có rộng quá k?,39kg
413,Khách 3433: Mình 1m65 50kg,50kg
414,Khách 3438: 50 kí cao 1m 55 mặt size nhiêu ak,50 kí
415,Khách 3439: 44kg cao 1mm58,44kg
416,Khách 3440: Nặng 51 kí cao 1m58,51 kí
417,Khách 3442: Cao 1m62 nặg 50kg,50kg
418,Khách 3443: M59 nặng 55kg mặc sz gì ạ,55kg
419,Khách 3444: Nặng 48kg cao 1m55 ạ,48kg
420,Khách 3445: Mình nặng 66kg cao 1m6 vừa k0 shop,66kg
421,Khách 3462: Cao 1m55 nang 56kg,56kg
422,Khách 3464: Mình cao 1m58 nặng 53kg ạk,53kg
423,Khách 3465: Nặng 55kg cao 1m53 ạ,55kg
424,Khách 3466: e cao 1m60 cao 54kg mặc sai nào chị,54kg
425,Khách 3467: 1m55 nặng 52kg ạ,52kg
426,Khách 3480: Cao 1m58 nặng 51kg,51kg
427,Khách 3482: 1m71 nặng 62kg,62kg
428,Khách 3483: cao 1m65 nặng 48kg,48kg
429,Khách 3494: Em cao 1m56. Nặng 52kg vừa sz L đúng hok shop,52kg
430,Khách 3496: 1m6 47kg à shop,47kg
431,Khách 3501: 1m52 - 49kg nhé,49kg
432,"Khách 3502: À, cao 1,65. Nặng 60kg",60kg
433,Khách 3505: Nặng 40kg cao 1m46,40kg
434,"Khách 3510: 1m50 ,43kg ci",43kg
435,Khách 3535: Dạ cao 1m66 nặng 54 ạ, 54
436,Khách 3538: E 42 cân cao một mét 52,42 cân 
437,Khách 3542: MÌnh cao 1m60 nặng 60 cân size gì ạ,60 cân
438,Khách 3543: E nặng 45kg cao 1m52 mặc size nào vừa ạ,45kg
439,Khách 3550: Nặng 43kg cao 1m47 ạ,43kg
440,Khách 3554: 1m55 55kg,55kg
441,Khách 3555: Cao 1m 52 nặng 53 kg,53 kg
442,Khách 3556: Cho mình hỏi cao 1m52 và  nặng 55kg thì mặc size gì,55kg
443,Khách 3561: 58kg eo 89  cao. 1m55,58kg
444,Khách 3568: Chiều cao và can nang nhu nào thy mặc sai s vậy shop,Khách 3568: Chiều cao và can nang nhu nào thy mặc sai s vậy shop
445,Khách 3571: 46kg 1m5,46kg
446,Khách 3572: 1m65 nặng 58kg,58kg
447,Khách 3574: 1 m 55.52 kg,52 kg
448, mình tên Hương nặng 45kg cao 1m52,45kg
449, Shop: MẪU 1M53 NẶNG 43KG Ạ,43KG
450, Khách 9617: Mình 46kg 1m3 mặc size S dc phải k s,46kg
451, Khách 9639: Sze M 1m65 50kg nha b,50kg
452, Khách 9650: E cao 1 m 54 nặng 48 kg eo 74 shop lấy size dùm e nhé,48 kg
453, Khách 9655: E 47 ki 1m50,47 ki
454, Khách 9658: Chị cao 164 nặng 57 kí bình thường chị mặc sai l,57 kí
455," Khách 9665: 1m58, 52kg",52kg
456, Khách 9668: Ma này 60ki m63 vừa ko e,60ki
457, Khách 9675: Lấy chị 1 cái cao 1.62 nặng 49kg,49kg
458, Khách 9676: Da  e 58kg cao 1m58 xxxxx,58kg
459, Khách 11205: Em cao 1m65 nang 52kg nguc 90  nguc 63 mong 90 ah,52kg
460, Khách 11233: E cao mét 60 nặng 60kgxxxxx,60kg
461, Khách 11243: 1m58 69ky vừa k e,69ky
462, Khách 11299: Lây 1 sét này 52 kg cao 1 m 60 sđtxxxxx Màu xanh nhạc,52 kg
463," Khách 11306: E cao 1,63 nặng 55kg ạ",55kg
464, Khách 12506: 1m6 nag 54kg,54kg
465, Khách 12518: 1m65 nang 52-53kg size nào ạ,52-53kg
466, Shop: MẪU 1M53 NẶNG 43KG Ạ,43KG
467," Khách 12532: 1m6 , 43kg",43kg
468, Khách 12544: Cam 1m50 nặng 40kg,40kg
469, Khách 12569: Chị 55kg . Cao 160,55kg
470, Khách 12570: Mẫu này cao 1m50 nặng 55kg vừa ko chị,55kg
471," Khách 12576: c 1m55, 52 ký",52 ký
472, Khách 12577: Mà e cao 1m6 53kg có mang vừa ko c,53kg
473, Khách 12587: Cao m70 nặng 55kg,55kg
474, Shop: 53kg trên m6 đổ xuông là vua c nhé,53kg
475, Khách 12621: M cao 1m6 nặng 51kg,51kg
476," Khách 12621: Sđt của chịxxxxx , chị 52kg, 1m 6",52kg
477, Khách 12637: có sz 60 kí ko ạ . cao 1m6,60 kí
478," Khách 12640: Mẫu này còn hk ak ,e cao 1m50 ,năng 50kg ,eo 72",50kg
479, Khách 155: E 1m55 nặng 48kg. Ch lựa sz giúp e vs ạ,nặng 48kg
480, Khách 155: Nếu còn gọi cho e theo sốxxxxx E 1m55 nặng 48kg. Chị lựa sz giúp e ạ, nặng 48kg
481, Khách 158: Minh cao 1m64 nang 55kg,55kg
482, Shop: dạ c cho e xin chiều cao cân nặng vòng eo của mình để e tư vấn nha, Shop: dạ c cho e xin chiều cao cân nặng vòng eo của mình để e tư vấn nha
483, Khách 158: minh cao 1m64 nang 55kg mac aize nao shop,55kg
484, Khách 167: Size l em 57kg eo 78 cao 1m57,57kg 
485, 75 ô1 khu 2 thị trấn chợ gạo tiền giangxxxxx Mình 50kg 1m53,50kg
486, Khách 187: 1m62 nặng 60kg,60kg
487, Khách 351: 1m63. 58kg,58kg
488, Khách 357: 1m65 -50kg- eo 65 vua k?,50kg
489, Khách 357: 1m65 -50kg- eo 65 vua k?,50kg
490, Khách 357: 1m65 50kg vua k,50kg
491, Khách 360: Mình 54kg 1m6 bận vừa k ah,54kg
492, Khách 372: Cao 1m63 nặng 53kg e,53kg 
493, Khách 1075: Đầm này 1m58 58kg vừa k e,58kg
494, Khách 1080: E 52kg 1m50 có mặc vừa A5 k ạ,52kg
495, Khách 1086: Chi 49kg. Cao M 56,49kg
496, Khách 1092: 52ky 1m62 vua M hk ạ,52ky
497, Khách 1092: 54kg 1m62 vua hk ạ? Bên mình ship viettel ko ạ để mình pit cho địa chỉ ạ..vi viettel thi xát cơ wan mjh làm lấy dễ,54kg
498, Khách 1092: Mjh 54kg cao 1m62,54kg
499, Khách 1092: Cao 1m63 nặng 54kg,54kg
500, Khách 1115: 46kg m55 nha c,46kg
501, Khách 1120: Cao 163 năng 55 kg,55 kg
502," Khách 1137: 48kg,cao1m54 mặc size s hả shop",48kg
503," Khách 1138: neu con mau nay thi đe cho chi nhe, chi 52kg, 1m55",52kg
504," Khách 1138: chi 52kg, 1m55",52kg
505, Khách 1141: e cao 1m65 54-55kg ạ,55kg
506," Khách 1141: eo thì e k rõ, e cao 1m65 60kg ạ",60kg
507," Khách 1141: e có đặt 1c đầm trắng bên chị 245k ý, bạn NV ms gọi cho e, e 60kg mà cao 1m65 á",60kg
508," Khách 1146: Cao 1.58. 54 ký, eo 75",54 ký
509, Khách 1149: Mình 1.53m 47kg vừa chân váy sz S k ạ,47kg
510, Khách 1163: 1m66 nặng 50kg,50kg
511, Khách 1175: C 1m66 56kg,56kg
512, Khách 1177: Ok e..49kg m6 mặc size m vừa pk e,49kg
513, Khách 1179: Sét này cao 1m 58 nặng 46kg eo 69 size M vừa k ah,46kg
514, Khách 1115: 46kg m55 nha c,46kg
515, Khách 1120: Cao 163 năng 55 kg,55 kg
516," Khách 1137: 48kg,cao1m54 mặc size s hả shop",48kg
517," Khách 1138: neu con mau nay thi đe cho chi nhe, chi 52kg, 1m55",52kg
518," Khách 1138: chi 52kg, 1m55",52kg
519, Khách 1141: e cao 1m65 54-55kg ạ,55kg
520," Khách 1141: eo thì e k rõ, e cao 1m65 60kg ạ",60kg
521," Khách 1141: e có đặt 1c đầm trắng bên chị 245k ý, bạn NV ms gọi cho e, e 60kg mà cao 1m65 á",60kg
522," Khách 1146: Cao 1.58. 54 ký, eo 75",54 ký
523, Khách 199: Cao 1m55 nag 58kg,58kg
524, Shop: chị cho em số kí và chiều cao em tư vấn nha, Shop: chị cho em số kí và chiều cao em tư vấn nha
525, Khách 220: E cao 1m68 nặng 55kg ạ,55kg
526, Khách 1270: 2 set đó 53kg cao 1m59 mặc vừa ko chị,53kg
527, Khách 1289: 55kg 1m52 mac sz gi e,55kg
528, Khách 2778: Mình cao 1m65 nặng 56kg nếu còn màu đỏ shop chọn size cho mình luôn.,56kg
529, Khách 2808: Dạ e 48kg cao 1m56 ạ e mang size  nào vừa ạ,48kg
530, Khách 2811: Mẫu này còn k sh . 1m65 50kg mặc vừa k ạ,50kg
531, Khách 2828: còn lấy mình size phù hợp cao 1’53 nặng 48kg eo dưới 70cm nha,48kg 
532," Khách 2835: 1,55- 46 ky ok ko s",46 ky 
533," Khách 2845: E 1m56, 48kg, lấy size nào ạ", 48kg
534, Khách 2850: Có size 42ki 1m58 k ạ, 42ki 
535, Khách 2850: Quần size 42ki 1m58 ạ,42ki
536, Khách 2865: 1m54 nặng 54kg mặc size j vừa ạ, 54kg
537, Khách 3648: Em cao 1m6 54kg,54kg
538," Khách 3656: Chị 52kg,cao 1m56,lấy sz nào vừa",52kg
539, Khách 3666: E cao 1m50 nặng 46kí eo tầm 69-70 chị xem e mặc zisr nào ạ,46kí
540, Khách 3666: 1m50 nặng 46 zise s ạ,nặng 46
541, Khách 3666: Cao 1m50 nặng 46 kí,46 kí
542, Khách 3701: E cao mét 57 nặng 49 kg,49 kg
543, Khách 3709: Mình cao 1m55 nặng 53kg,53kg
544, Khách 3715: Em cao 1m58 nặng 55 kí vừa hết 4 mẫu chứ ạ,55 kí
545, Khách 3715: Set đó em 55 kí cao 1m58 vừa k ạ,55 kí
546, Khách 3719: Ưng 2 mẫu này nhug ma số đo cua mình là 1m55 nặng 55 mà eo 83 tại mới sinh nên mập . Trước nhận đầm vest bên shop mặc cug ko vừa ạ. Shop thôg cảm nha, nặng 55
547," Khách 3728: Cao 1m52, eo 72, nặng 53kg",53kg
548," Khách 3728: Cao 1m52, eo 72, nặng 53kg",53kg
549," Khách 3731: Mình 40kg, 1m57,",40kg
550," Khách 3733: Mình cao 1.5, nang 42kg",42kg
551, Khách 4200: 1m50 47 kg,47 kg
552, Khách 4209: Mình cao 1n50 nặng 48ki nhé shop,48ki
553, Khách 4217: e cao 1m47 năng 55kg,55kg
554, Khách 4223: 55ky cao m54 chị,55ky
555, Khách 4223: Em 55 ký cao m54,55 ký
556, Khách 4229: Em 1m59.. 48-49kg gì đó,48-49kg
557, Khách 4235: E 48kg cao 1m57,48kg
558," Khách 4246: có thể ghé shop thử size dc ko ạ, mình cao 1m58 nặng 52kg",52kg
559, Khách 4266: 54kg 1m55 vừa ko ạ,54kg
560, Khách 4267: Cao 1m65 năng 57ki,57ki
561, Khách 4270: Cho c hỏi bộ đen cuối c 53kg cao m59 mông hơi to,53kg
562," Khách 5002: Minh 45kg, cao1m65 mac size gi ban",45kg
563, Khách 5026: Chị ơi hôm e có đặt set xám ak mà e đổi size M ak vì đặt nhằm size L rồi vì e có 50kg cao 1m53 vậy size L rộng so với e ak c,50kg
564, Khách 5037: Cân nặng 52kg cao 1m62,52kg
565," Khách 5039: M52, 53 ký",53 ký
566, Khách 5046: E 1m50.nang44kg mặc đc ko,44kg
567," Khách 5047: Em 1m50, 47kg, eo 67 mặc size gì đc ạ",47kg
568, Khách 5062: Shop ơi cho e hỏi đầm này 60kg 1m58 vừa ko ạ,60kg
569, Khách 5130: 1m53 54kg eo 80 đc k ạ,54kg
570, Khách 5130: 1m53 54kg vừa k ạ,54kg
571, Khách 5130: 1m53 54kg vừa k ạ,54kg
572, Khách 5130: 1m53 54kg vừa k ạ,54kg
573, Khách 5130: 1n53 54kg vừa mà ạ,54kg
574, Khách 5130: 1m53 54kg mặc size gì ạ,54kg
575, Khách 5130: 1m53 54kg mặc vừa hok ạ,54kg
576, Khách 6747: Cao 1m 55 47 ký nhé,47 ký
577, Khách 6750: Sđt cxxxxx  chị cao 1’m55 nặng 51ki,51ki
578, Khách 6758: 48kg 1m6 còn zise k bạn,48kg
579, Khách 6786: Mh cao 1m50 44kg size S ok k shop,44kg
580, Khách 6809: chị 51kg 1m65,51kg
581," Khách 6832: Cao 1.53, nặng 53kg",53kg
582, Khách 6833: E cao 167 nẶng 57kg ma nayz Shop noi 54kg vua,57kg|/|54kg
583, Khách 6844: E cao 1m53. Nang 51 ki. Shop thay vừa size nao gui ve cho e nhé,51 ki
584, Khách 6844: E 1m52  . Nang 51 ki. E măc dc size nào ạ,51 ki
585, Khách 6844: E cao 1m52. Nang 51 ki. Mặc size ji vậy ạ,51 ki
586,Khách 256: E muốn lấy mẫu này m70. 60 ký mặc size j dc ạ,60 ký
587,Khách 257: E cao 1m57 nặng 54kg ạ,54kg
588,Khách 258: Chị cao 1m58 nặng 48 kg,48 kg
589,Khách 265: Dạ mình 41kg cao 1m50 ạ,41kg
590,Khách 272: Cao 1m64 nặng 56kg ạ,56kg
591,Khách 276: Mình cao 1m65 nặng 51kg ạ,51kg
592,Khách 281: 1m55 52 ký,52 ký
593,Khách 283: Mình cao 1m64 nặng 55kg thì mặc sz nào ạ,55kg
594,Khách 287: 1m50 nặng 52kg,52kg
595,Khách 289: E cao m50 nặng 50kg,50kg
596,Khách 299: Mk cao 1m58z nặng 60kg,60kg
597,Khách 308: Dạ e cao 1m60 nặng 48kg,48kg
598,Khách 311: Bộ này có sz cho ng 57kg m58 k sh,57kg
599,"Khách 316: 58 kí, cao 1m62",58 kí
600,Khách 327: 1m6 62kg,62kg
601,Khách 328: M6 60 ki vừa k shop,60 ki
602,Khách 331: mk nặng 50 cao m59,nặng 50
603,Khách 360: M 42 kg cao m55 ah,42 kg
604,Khách 361: 47 kg  cao 150,47 kg
605,Khách 367: 1m68 60kg,60kg
606,Khách 368: E 42kg m58,42kg
607,Khách 397: 1m55 50kg mặc size gì ak,50kg
608,"Khách 398: 62ki,1m49",62ki
609,Khách 399: E nặng 40kg cao 1m53,40kg
610,Khách 400: 45ki cao 1m6,45ki
611,Khách 409: Em mét 58 48kg,48kg
612,"Khách 413: 48kg, 1m53",48kg
613,"Khách 416: Cao 1m65 nặng 65kg, bụng hơi mỡ  mặc vừa k ạ",65kg
614,Khách 421: 1m6 60 kg vừa khog ạ,60 kg
615,Khách 424: Cao 1m62 nang 62kg mac vua k?,62kg
616,"Khách 426: 62kg ,1m57",62kg
617,Khách 437: Nang 54 cao 1m50,Nang 54
618,Khách 440: 1m47 45kg shop,45kg
619,Khách 442: 1m58 40kg mặc được ko shop,40kg
620,Khách 447: Cao 1m66 nặng 58jg, nặng 58jg
621,"Khách 452: 1m55,57kg vưa k ạh",57kg
622,"Khách 470: E 1m6 nặng 49kg eo e hơi to ạ, hì hì",49kg
623,Khách 476: 1m65 57kg ó size k shop,57kg
624,Khách 489: Khoảng 49Kg 1m58 ạ,49Kg
625,Khách 489: Dạ em 48Kg 1m63 ạ,48Kg
626,Khách 496: Dạ e 1m50 năg 39kg ạ,39kg
627,Khách 498: Mình cao 1m63 nặng 57 ký ạ,57 ký
628,Khách 499: cao 1m61 nặng 57kg vừa k ạ,57kg
629,Khách 500: Mình cao 155 nặbg 49kg,49kg
630,Khách 515: E M56-44kg shop ạ,44kg
631,Khách 534: c mẫu cao nặng bnhiu ạ,Khách 534: c mẫu cao nặng bnhiu ạ
632,Khách 538: 1m53 . năng 48jg,năng 48jg
633,"Khách 541: Cân nặng 46,5kg, chiều cao 157cm","46,5kg"
634,Khách 2342: Em cao 1m60 nặng 47kg.,47kg
635,Shop: Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/thoitranghume/photos/a.142770340797826/155934769481383/?type=3&av=104247154650145&eav=AfbbYd5gfCKKum9KgLYWIWegOCv1qU4QiZ_rvg4bzpkRP1i2XsGwkbMsaSgtnJ__gXE&comment_id=203753341366192),9Kg
636,Khách 2359: Dạ 1m53 nặng 54kg có vừa không ạ,54kg
637,Khách 2361: Dạ e cao 1m50 nặng 40kg,40kg
638,Khách 2366: E 52kg cao 1m57,52kg
639,Khách 2370: E cao 1m60 nặng 47kg,47kg
640,Khách 2393: Dạ 51kg cao 1m52,51kg
641,Khách 2399: Mình cao m50 nặng 48kg,48kg
642,Khách 2401: E 53kg 1m6 mang sz chi vừa ạ?,53kg
643,"Khách 2406: Dạ cao 1m59, nặng 50kg",50kg
644,"Khách 2407: 1m5, nặng 42,5kg ạ"," 42,5kg"
645,Khách 2410: 161 cm 52 kg,52 kg
646,Khách 2410: Cao 161 52 kg,52 kg
647,Khách 2412: Dạ e cao 1m50 nặng 55kg,55kg
648,Khách 2434: Cao 1m61 nặng 53kg  ạ,53kg
649,Khách 2435: mjh cao 1m61 nặng 51 ký,51 ký
650,Khách 2438: 1m55 48kg ạ,48kg
651,Khách 2439: 1m6  - 63kg có vừa k ạ,63kg
652,Khách 2441: 1m53 nặng 44kg mặc Size j ạ,44kg
653,Khách 2449: Cao m57 nang 62 kg vua ko chi,62 kg
654,"Khách 2456: 2 mẫu này có size dành cho 68kg, 1m60 ko ạ",68kg
655,Khách 2458: 1m7 nặng 63kg,63kg
656,Khách 2459: dạ e cao 1m58 nặng 63kg ạ,63kg
657,Khách 2472: 1m6 49kg eo 66,49kg
658,Khách 2482: 1m50 45kg chi lấy sz giúp em,45kg
659,Khách 2484: Này 1m55 nặng 55 ký vừa k ạ,55 ký
660,"Khách 2489: Em cao 1m53, 55kg ạ",55kg
661,Khách 2502: Dạ cao 1m62 nặng 56kg mặc size gì ạ,56kg
662,Khách 2513: E 1m63 45kg ạ,45kg
663,Khách 2532: 50kg m60 mặc size gì ạ,50kg
664,Khách 2535: Minh cao 1m65 nặng 51kg,51kg
665,"Khách 2552: Khoảng 1,58m và 58kg ạ",58kg
666,Khách 2556: Cao 1m6 nặng 45kg,45kg
667,Khách 2557: Cao 1 m55 nặng 53 kg,53 kg
668,Khách 2564: mình cao 1m58 nặng 45kg thì mặc váy đến đâu ạ,45kg
669,Khách 2567: Cho mình hỏi cao 1m63 nặng 72 cân mặc vừa không ạ?, 72 cân
670,Khách 2568: 49kg cao 1m6 ạ,49kg
671,"Khách 2569: 1 M43  , 36 kg ạ",36 kg
672,Khách 2571: e năng 49kg cao m52,49kg
673,Khách 2584: Cao m6 nạng 55kg eo 73 ạ,55kg
674,Khách 2590: Mình 60kg cao 1m6,60kg
675,Khách 4572: Ny em Cao m7 nặng 51kg mặc size gì ạ,51kg
676,Khách 4579: Za e 49kg và 1m50 mặc  hợp hk cj,49kg
677,Khách 4589: 1m57 nặng 52.5 ạ,nặng 52.5
678,Khách 4591: Mình 52 kg cao 1m57 mặc sz gì hả dhop,52 kg
679,Khách 4598: 1m55 59ki,59ki
680,Khách 4600: E 44kg 1m6,44kg
681,Khách 4603: Cao 1m45 nặng 38kg,38kg
682,Khách 4620: 65 ky cao một mét 62 mặt được không Em,65 ky
683,Khách 4625: Dạ vậy shop tư vấn giúp em với ạ. Em cao 1m6. Nặng 42kg,42kg
684,Khách 4629: 55kg cao m5,55kg
685,"Khách 4632: À mà shop tư vấn cho e cái size đi, vì cái này e mua cho má e á, 1m56 nặng 52kg eo là 71",52kg
686,Khách 4633: E 1m5 43 44kg á c,43 44kg
687,Khách 4633: 44kg 1m5 ạ,44kg
688,Khách 4634: E 47kg 1m58 ạ,47kg
689,Khách 4637: 38kg 1m 45 vừa k ak,38kg
690,Khách 4638: 1m60.60kg.eo 82,60kg
691,Khách 4638: 1m60.60kg..eo 82.mong 96,60kg
692,Khách 4641: 1m645kg sie nào vừa a,45kg
693,Khách 4667: 53kg 1m63,53kg
694,Khách 4669: E 65kg cao 1m56,65kg
695,Khách 4678: 1m55 50kg size nào shop?,50kg
696,Khách 4684: Cao 1m65 nặng 65kg ak,65kg
697,Khách 4685: Mình 1m62 mà 55kg,55kg
698,Khách 4685: Mình cao 162 nặng 57kg,57kg
699,Khách 4694: 54kg cao 1m55 mặc dk ko ạ,54kg
700,"Khách 4704: 1m67, 68kg mặc vừa hk ạ",68kg
701,Khách 4705: 44kg 1m56,44kg
702,Khách 4715: Xl shop .e cao 1m52 nang 63kg .Co size ko shop,63kg
703,Khách 4716: Dạ e nặng 55kg cao 1m50 ak shop,55kg
704,Khách 4717: 158cm 60kg có vừa đk Ko b,60kg
705,Khách 4738: Cao 1m65 .nặng 55kg ạ,55kg
706,Khách 4740: 70ky cao 1m65,70ky
707,Khách 4742: 1m50 39kg,39kg
708,Khách 4742: 1m50 39kg mang size s vừa  k shop,39kg
709,Khách 4750: 1m50 nặng 45kg,45kg
710,Khách 4753: Da minh cao 1m 63 bà 49 kg,49 kg
711,Khách 4757: Em cao 1m60 55kg mặc size gì được ạ,55kg
712,Khách 4762: 1m50 năng 52kg mac size j dc,52kg
713,Khách 4770: Shop ơi váy này 1m62 60 kg mặc vừa ko ạ,60 kg
714,Khách 4771: Cao 150  Cân nặng 38 kg,38 kg
715,Khách 4808: Em cao m63 nặng 53kg thì mặc size gì ạ,53kg
716,Khách 4809: 1m55 năg 40kg vừa size S k shop,40kg
717,"Khách 4860: E 59kg ,1,60",59kg
718,Khách 4869: E 1.58 49kg,49kg
719,Khách 4880: Mh cao 1m58 nặng 48kg,48kg
720,Khách 4884: 55ki. M58. Là size gi shop.,55ki
721,"Khách 4885: bên mình  có  mẫu  1m55,nâng 60kg k",60kg
722,Khách 4888: E 1m59 49 cân, 49 cân
723,Khách 4931: shop ơi 1m58 nặng 40 vừa ko, nặng 40
724,Khách 4932: 1m50.nặng 64kí vừa k ạ,64kí
725,Khách 4936: 1m50 .nang 57ky vua ko,57ky
726,Khách 4948: 1m60 64 cân vừa kh ạ, 64 cân 
727,Khách 4954: E 1 bộ size M nhé e 50kg m63,50kg
728,Khách 4965: 1m50 50kg,50kg
729,Khách 4970: Dạ em 1m6 nhưng 56kg thì size l có vừa k ạ,56kg
730,Khách 4989: Mình 65kg cao 1m64,65kg
731,Shop: Bé mẫu cũng cao 1m64 nặng 47kg bận size S,47kg
732,Khách 5002: Mình cao 1m64 53 kí,53 kí
733,Khách 5004: Cao mm55 năng 53, năng 53
734,Khách 5007: Em 1m52 nag 58kg,58kg
735,Khách 5009: Cân nặng 49kg cao 1m53,49kg
736,Khách 5011: Dạ shop ơi e cao 1m55 nặng 47 kg mặc size gì ạ,47 kg
737,Khách 5017: 62kg cao 1m6,62kg
738,Khách 5021: 57kg cao 1m50,57kg
739,"Khách 5022: Mình 48kg,1m60 mặc vừa k ạ",48kg
740,Khách 5027: Em cao 1m50 nặng 44kg mặc size gì ạ,44kg
741,"Khách 5029: Nặng 53kg,cao 1.64",53kg
742,Shop: dạ bé bên nỳ 49kg cao m58 mặc S vẫn vừa ạ,49kg
743,Khách 5033: 1m58 48 kí size j shop chua tv e,48 kí
744,Khách 5037: Mìn cao 1m6 nặng 45kg mặc size gì v shop,45kg
745,Khách 5038: E Cao m50. 49kg,49kg
746,Khách 5039: Mình 66kg cao 1m50 mặc vừa ko shop,66kg
747,Khách 5040: Cao 1.50 nặng 50kg,50kg
748,Khách 5057: 48kg 1m60 ạ,48kg
749,Khách 5057: chị mẫu cao bnhieu nặng bnhieu ạ,Khách 5057: chị mẫu cao bnhieu nặng bnhieu ạ
750,"Khách 5062: 1m6, 46kg ạ",46kg
751,Khách 5068: 1m55 45kg vừa k shop,45kg
752,Khách 5073: cao 1m53 nặng 48kg mặc size j shop,48kg
753,"Khách 5091: m50, 40kg",40kg
754,Khách 5092: Em 153cm nhưng 55kg,55kg
755, Khách 5508: Chị 49ki cao 1m60 mặc đầm hoa s hay m.nếu còn size vừa chị thì chốt chị cái nha,49ki
756, Khách 5512: Làm phiền em cho chị hỏi xíu chị Eo 74 nặng 52kg cao 1m54 vừa ssize m hay L em,52kg
757, Khách 5512: Cho chị hỏi set váy hoa eo 74 cao 1m54 nặng 52kg mặc size nào vừa em,52kg
758," Khách 5512: Chị 53kg cao 1m53 , em còn size m nếu vừa cho chị với. Cảm ơn e",53kg
759, Khách 5512: Set này 46kg cao 1m5 còn k em,46kg
760, Khách 5530: Mình cao 1m6 nặng 52kg còn size k ạ,52kg
761, Khách 5536: Cao 1m52 nặng 47 đến 48 kg,48 kg|/|nặng 47
762, Khách 5536: M cao 1m52  nặng 48 kg,48 kg
763, Khách 5546: 1m62 nặng 51 kí,51 kí
764, Khách 5546: Cao 1m62 nặng 51 kí nha,51 kí
765," Khách 5561: 1m58, 50 cân",50 cân
766," Khách 5561: Sz 1m58 ,49 cân",49 cân
767, Khách 5567: E cao 1m 53 nặng 45kg,45kg
768, Khách 5567: Mình cao 1m53 nặng 45 kg mặc sz nào vậy ạ,45 kg
769, Khách 5572: 1m55 56kg size may ạ,56kg
770, Khách 5601: 1m62 nặng 54kg,54kg
771, Khách 5601: Size 1m62 54kg,54kg
772, Khách 8038: Lấy ch 2 mẫu này . Size cho ng tầm 55kg/1m50.,55kg
773, Khách 8060: Hai mã này mình cao 170cm nặng 60kg,60kg
774, Shop: dạ 1m53 41kg nha c,41kg
775, Khách 8060: Shop cho minh hoi bạn mẫu cao m bn và nặng bn kí v shop, Khách 8060: Shop cho minh hoi bạn mẫu cao m bn và nặng bn kí v shop
776," Khách 8082: Feedback cho nhà Hằng vì cái đầm quá đẹp đây, mua bên em nhiều lắm luôn mà hầu như mẫu nào cũng ưng, Chị 1.67m 57kg mà mẫu nào bên em về C mặc cũng vừa , ngày nào cũng nhận hàng mà shipper quen mặt luôn rồi nè",57kg
777, Khách 8094: Mình cao 1m62 nặng 53ky,53ky
778, Khách 8098: E cao 1m65 nặng 55kg,55kg
779, Khách 8105: Chị 48kg cao 1.53 nha,48kg
780, Khách 8108: Size 1m51- 43kg ạ,43kg
781, Khách 8112: Mình cao 1m58 năng 51kg mặc sz M vừa ko ạ,51kg
782, Khách 8125: Dam nay cao 1m61 57kg.eo 75 vua kg c.e 1cai nha,57kg
783," Khách 8134: có size L ko shop, cao 1m54, nặng 56 kg",56 kg
784," Khách 10022: Mình, 55 kg cao một méc 61",55 kg
785, Khách 10054: E cao 1m6 nặg 55kg sz j vậy ạ,55kg
786, Khách 10054: E 55kg cao 1m6 ạ,55kg
787, Khách 10068: 53kí/cao 1m57//eo 71,53kí
788, Khách 10068: E 54ki cao 1m57/eo 71,54ki
789, Khách 10130: E 53 ky 1m 6,53 ky
790," Khách 10134: Mình 60kg, cao m66 thì có vừa sz L ko? Shop tv giúp mình nha",60kg
791, Khách 10140: C lấy đầm và vòng cổ luôn nha. Chi cao 1m57 va nặng 49kg,49kg
792," Khách 10140: Ak chi nhầm, chi cao 1m57, nặng 47kg",47kg
793," Khách 10140: C cao 1m57, nặng 57kg nhe",57kg
