,text,height
394, Khách 2682: Còn váy này ko em ? Sz L  56 k cao 164 vừa ko ?,164
395, Khách 2705: E 57kg 1m60,1m60
396, Khách 2708: 53 ky 1m 50,1m 50
397,Khách 3324: 53kg cao 1m50,1m50
398,"Khách 3340: 1m6, 49kg",1m6
399,Khách 3341: 60kg 1m56,1m56
400,Khách 3342: 3 45kg 1m52,1m52
401,Khách 3344: E nặng 53kg cao 1m64 mang size gì v shop,1m64
402,"Khách 3345: 1m63,56kg",1m63
403,Khách 3349: 50kg vòng eo 78cm thì size gì ạ,78cm
404,Khách 3369: 1m66 48kg ạ,1m66
405,Khách 3370: 1m55 nặng 50kg ạ,1m55
406,Khách 3383: 37kg 1m56 ạ,1m56
407,Khách 3387: 63ki met 58 mặc vừa hk ạ,met 58
408,Khách 3418: Em nặng67 cân cao 159, 159
409,Khách 3421: 1m58 nặng 53kg,1m58
410,"Khách 3423: E cao 1m56, 42kg có vừa không chị",1m56
411,Khách 3427: E cao mét 50 nặng 42 kg mặc được ko ạ,mét 50
412,Khách 3428: Em nặng có 39kg cao 1m56 thì mặc size S bên shop có rộng quá k?,1m56
413,Khách 3433: Mình 1m65 50kg,1m65
414,Khách 3438: 50 kí cao 1m 55 mặt size nhiêu ak, 1m 55 
415,Khách 3439: 44kg cao 1mm58,1mm58
416,Khách 3440: Nặng 51 kí cao 1m58,1m58
417,Khách 3442: Cao 1m62 nặg 50kg,1m62
418,Khách 3443: M59 nặng 55kg mặc sz gì ạ,M59
419,Khách 3444: Nặng 48kg cao 1m55 ạ,1m55
420,Khách 3445: Mình nặng 66kg cao 1m6 vừa k0 shop,1m6
421,Khách 3462: Cao 1m55 nang 56kg,1m55
422,Khách 3464: Mình cao 1m58 nặng 53kg ạk,1m58
423,Khách 3465: Nặng 55kg cao 1m53 ạ,1m53
424,Khách 3466: e cao 1m60 cao 54kg mặc sai nào chị,1m60
425,Khách 3467: 1m55 nặng 52kg ạ,1m55
426,Khách 3480: Cao 1m58 nặng 51kg,1m58
427,Khách 3482: 1m71 nặng 62kg,1m71
428,Khách 3483: cao 1m65 nặng 48kg,1m65
429,Khách 3494: Em cao 1m56. Nặng 52kg vừa sz L đúng hok shop,1m56
430,Khách 3496: 1m6 47kg à shop,1m6
431,Khách 3501: 1m52 - 49kg nhé,1m52
432,"Khách 3502: À, cao 1,65. Nặng 60kg","1,65"
433,Khách 3505: Nặng 40kg cao 1m46,1m46
434,"Khách 3510: 1m50 ,43kg ci",1m50
435,Khách 3535: Dạ cao 1m66 nặng 54 ạ,1m66
436,Khách 3538: E 42 cân cao một mét 52,một mét 52
437,Khách 3542: MÌnh cao 1m60 nặng 60 cân size gì ạ,1m60
438,Khách 3543: E nặng 45kg cao 1m52 mặc size nào vừa ạ,1m52
439,Khách 3550: Nặng 43kg cao 1m47 ạ,1m47
440,Khách 3554: 1m55 55kg,1m55
441,Khách 3555: Cao 1m 52 nặng 53 kg,1m 52
442,Khách 3556: Cho mình hỏi cao 1m52 và  nặng 55kg thì mặc size gì,1m52
443,Khách 3561: 58kg eo 89  cao. 1m55,1m55
444,Khách 3568: Chiều cao và can nang nhu nào thy mặc sai s vậy shop,Khách 3568: Chiều cao và can nang nhu nào thy mặc sai s vậy shop
445,Khách 3571: 46kg 1m5,1m5
446,Khách 3572: 1m65 nặng 58kg,1m65
447,Khách 3574: 1 m 55.52 kg,1 m 55
448, mình tên Hương nặng 45kg cao 1m52,1m52
449, Shop: MẪU 1M53 NẶNG 43KG Ạ,1M53
450, Khách 9617: Mình 46kg 1m3 mặc size S dc phải k s,1m3
451, Khách 9639: Sze M 1m65 50kg nha b,1m65
452, Khách 9650: E cao 1 m 54 nặng 48 kg eo 74 shop lấy size dùm e nhé,1 m 54 
453, Khách 9655: E 47 ki 1m50,1m50
454, Khách 9658: Chị cao 164 nặng 57 kí bình thường chị mặc sai l,164 
455," Khách 9665: 1m58, 52kg",1m58
456, Khách 9668: Ma này 60ki m63 vừa ko e,m63
457, Khách 9675: Lấy chị 1 cái cao 1.62 nặng 49kg,1.62 
458, Khách 9676: Da  e 58kg cao 1m58 xxxxx,1m58
459, Khách 11205: Em cao 1m65 nang 52kg nguc 90  nguc 63 mong 90 ah,1m65
460, Khách 11233: E cao mét 60 nặng 60kgxxxxx,mét 60
461, Khách 11243: 1m58 69ky vừa k e,1m58
462, Khách 11299: Lây 1 sét này 52 kg cao 1 m 60 sđtxxxxx Màu xanh nhạc,1 m 60 
463," Khách 11306: E cao 1,63 nặng 55kg ạ","1,63"
464, Khách 12506: 1m6 nag 54kg,1m6
465, Khách 12518: 1m65 nang 52-53kg size nào ạ,1m65
466, Shop: MẪU 1M53 NẶNG 43KG Ạ,1M53
467," Khách 12532: 1m6 , 43kg",1m6
468, Khách 12544: Cam 1m50 nặng 40kg,1m50
469, Khách 12569: Chị 55kg . Cao 160,160
470, Khách 12570: Mẫu này cao 1m50 nặng 55kg vừa ko chị,1m50
471," Khách 12576: c 1m55, 52 ký",1m55
472, Khách 12577: Mà e cao 1m6 53kg có mang vừa ko c,1m6
473, Khách 12587: Cao m70 nặng 55kg,m70
474, Shop: 53kg trên m6 đổ xuông là vua c nhé,m6
475, Khách 12621: M cao 1m6 nặng 51kg,1m6
476," Khách 12621: Sđt của chịxxxxx , chị 52kg, 1m 6",1m 6
477, Khách 12637: có sz 60 kí ko ạ . cao 1m6,1m6
478," Khách 12640: Mẫu này còn hk ak ,e cao 1m50 ,năng 50kg ,eo 72",1m50
479, Khách 155: E 1m55 nặng 48kg. Ch lựa sz giúp e vs ạ,1m55
480, Khách 155: Nếu còn gọi cho e theo sốxxxxx E 1m55 nặng 48kg. Chị lựa sz giúp e ạ,1m55
481, Khách 158: Minh cao 1m64 nang 55kg,1m64
482, Shop: dạ c cho e xin chiều cao cân nặng vòng eo của mình để e tư vấn nha, Shop: dạ c cho e xin chiều cao cân nặng vòng eo của mình để e tư vấn nha
483, Khách 158: minh cao 1m64 nang 55kg mac aize nao shop,1m64
484, Khách 167: Size l em 57kg eo 78 cao 1m57,cao 1m57
485, 75 ô1 khu 2 thị trấn chợ gạo tiền giangxxxxx Mình 50kg 1m53,1m53
486, Khách 187: 1m62 nặng 60kg,1m62
487, Khách 351: 1m63. 58kg,1m63
488, Khách 357: 1m65 -50kg- eo 65 vua k?,1m65
489, Khách 357: 1m65 -50kg- eo 65 vua k?,1m65
490, Khách 357: 1m65 50kg vua k,1m65
491, Khách 360: Mình 54kg 1m6 bận vừa k ah,1m6
492, Khách 372: Cao 1m63 nặng 53kg e,1m63
493, Khách 1075: Đầm này 1m58 58kg vừa k e,1m58
494, Khách 1080: E 52kg 1m50 có mặc vừa A5 k ạ,1m50
495, Khách 1086: Chi 49kg. Cao M 56,M 56
496, Khách 1092: 52ky 1m62 vua M hk ạ,1m62
497, Khách 1092: 54kg 1m62 vua hk ạ? Bên mình ship viettel ko ạ để mình pit cho địa chỉ ạ..vi viettel thi xát cơ wan mjh làm lấy dễ,1m62
498, Khách 1092: Mjh 54kg cao 1m62,1m62
499, Khách 1092: Cao 1m63 nặng 54kg,1m63
500, Khách 1115: 46kg m55 nha c,m55
501, Khách 1120: Cao 163 năng 55 kg,163
502," Khách 1137: 48kg,cao1m54 mặc size s hả shop",1m54
503," Khách 1138: neu con mau nay thi đe cho chi nhe, chi 52kg, 1m55",1m55
504," Khách 1138: chi 52kg, 1m55",1m55
505, Khách 1141: e cao 1m65 54-55kg ạ,1m65
506," Khách 1141: eo thì e k rõ, e cao 1m65 60kg ạ",1m65
507," Khách 1141: e có đặt 1c đầm trắng bên chị 245k ý, bạn NV ms gọi cho e, e 60kg mà cao 1m65 á",1m65
508," Khách 1146: Cao 1.58. 54 ký, eo 75",Cao 1.58
509, Khách 1149: Mình 1.53m 47kg vừa chân váy sz S k ạ,1.53m
510, Khách 1163: 1m66 nặng 50kg,1m66
511, Khách 1175: C 1m66 56kg,1m66
512, Khách 1177: Ok e..49kg m6 mặc size m vừa pk e,m6
513, Khách 1179: Sét này cao 1m 58 nặng 46kg eo 69 size M vừa k ah,1m 58
514, Khách 1115: 46kg m55 nha c,m55
515, Khách 1120: Cao 163 năng 55 kg,Cao 163
516," Khách 1137: 48kg,cao1m54 mặc size s hả shop",1m54
517," Khách 1138: neu con mau nay thi đe cho chi nhe, chi 52kg, 1m55",1m55
518," Khách 1138: chi 52kg, 1m55",1m55
519, Khách 1141: e cao 1m65 54-55kg ạ,1m65
520," Khách 1141: eo thì e k rõ, e cao 1m65 60kg ạ",1m65
521," Khách 1141: e có đặt 1c đầm trắng bên chị 245k ý, bạn NV ms gọi cho e, e 60kg mà cao 1m65 á",1m65
522," Khách 1146: Cao 1.58. 54 ký, eo 75",Cao 1.58
523, Khách 199: Cao 1m55 nag 58kg, 1m55
524, Shop: chị cho em số kí và chiều cao em tư vấn nha, Shop: chị cho em số kí và chiều cao em tư vấn nha
525, Khách 220: E cao 1m68 nặng 55kg ạ, 1m68 
526, Khách 1270: 2 set đó 53kg cao 1m59 mặc vừa ko chị,1m59
527, Khách 1289: 55kg 1m52 mac sz gi e,1m52
528, Khách 2778: Mình cao 1m65 nặng 56kg nếu còn màu đỏ shop chọn size cho mình luôn.,1m65
529, Khách 2808: Dạ e 48kg cao 1m56 ạ e mang size  nào vừa ạ,1m56 
530, Khách 2811: Mẫu này còn k sh . 1m65 50kg mặc vừa k ạ,1m65 
531, Khách 2828: còn lấy mình size phù hợp cao 1’53 nặng 48kg eo dưới 70cm nha,1’53
532," Khách 2835: 1,55- 46 ky ok ko s"," 1,55"
533," Khách 2845: E 1m56, 48kg, lấy size nào ạ",1m56
534, Khách 2850: Có size 42ki 1m58 k ạ,1m58
535, Khách 2850: Quần size 42ki 1m58 ạ, 1m58
536, Khách 2865: 1m54 nặng 54kg mặc size j vừa ạ,1m54
537, Khách 3648: Em cao 1m6 54kg,1m6
538," Khách 3656: Chị 52kg,cao 1m56,lấy sz nào vừa",1m56
539, Khách 3666: E cao 1m50 nặng 46kí eo tầm 69-70 chị xem e mặc zisr nào ạ,1m50
540, Khách 3666: 1m50 nặng 46 zise s ạ,1m50
541, Khách 3666: Cao 1m50 nặng 46 kí,1m50
542, Khách 3701: E cao mét 57 nặng 49 kg,mét 57
543, Khách 3709: Mình cao 1m55 nặng 53kg,1m55
544, Khách 3715: Em cao 1m58 nặng 55 kí vừa hết 4 mẫu chứ ạ,1m58
545, Khách 3715: Set đó em 55 kí cao 1m58 vừa k ạ,1m58
546, Khách 3719: Ưng 2 mẫu này nhug ma số đo cua mình là 1m55 nặng 55 mà eo 83 tại mới sinh nên mập . Trước nhận đầm vest bên shop mặc cug ko vừa ạ. Shop thôg cảm nha,1m55
547," Khách 3728: Cao 1m52, eo 72, nặng 53kg",1m52
548," Khách 3728: Cao 1m52, eo 72, nặng 53kg",1m52
549," Khách 3731: Mình 40kg, 1m57,",1m57
550," Khách 3733: Mình cao 1.5, nang 42kg",cao 1.5
551, Khách 4200: 1m50 47 kg,1m50
552, Khách 4209: Mình cao 1n50 nặng 48ki nhé shop, 1n50
553, Khách 4217: e cao 1m47 năng 55kg,1m47
554, Khách 4223: 55ky cao m54 chị,m54
555, Khách 4223: Em 55 ký cao m54,m54
556, Khách 4229: Em 1m59.. 48-49kg gì đó,1m59
557, Khách 4235: E 48kg cao 1m57,1m57
558," Khách 4246: có thể ghé shop thử size dc ko ạ, mình cao 1m58 nặng 52kg",1m58
559, Khách 4266: 54kg 1m55 vừa ko ạ,1m55
560, Khách 4267: Cao 1m65 năng 57ki,1m65
561, Khách 4270: Cho c hỏi bộ đen cuối c 53kg cao m59 mông hơi to,m59
562," Khách 5002: Minh 45kg, cao1m65 mac size gi ban",1m65
563, Khách 5026: Chị ơi hôm e có đặt set xám ak mà e đổi size M ak vì đặt nhằm size L rồi vì e có 50kg cao 1m53 vậy size L rộng so với e ak c,1m53
564, Khách 5037: Cân nặng 52kg cao 1m62,1m62
565," Khách 5039: M52, 53 ký",M52
566, Khách 5046: E 1m50.nang44kg mặc đc ko,1m50
567," Khách 5047: Em 1m50, 47kg, eo 67 mặc size gì đc ạ",1m50
568, Khách 5062: Shop ơi cho e hỏi đầm này 60kg 1m58 vừa ko ạ,1m58
569, Khách 5130: 1m53 54kg eo 80 đc k ạ,1m53
570, Khách 5130: 1m53 54kg vừa k ạ,1m53
571, Khách 5130: 1m53 54kg vừa k ạ,1m53
572, Khách 5130: 1m53 54kg vừa k ạ,1m53
573, Khách 5130: 1n53 54kg vừa mà ạ, 1n53 
574, Khách 5130: 1m53 54kg mặc size gì ạ,1m53
575, Khách 5130: 1m53 54kg mặc vừa hok ạ,1m53
576, Khách 6747: Cao 1m 55 47 ký nhé,1m 55
577, Khách 6750: Sđt cxxxxx  chị cao 1’m55 nặng 51ki,1’m55 
578, Khách 6758: 48kg 1m6 còn zise k bạn,1m6
579, Khách 6786: Mh cao 1m50 44kg size S ok k shop,1m50
580, Khách 6809: chị 51kg 1m65,1m65
581," Khách 6832: Cao 1.53, nặng 53kg",Cao 1.53
582, Khách 6833: E cao 167 nẶng 57kg ma nayz Shop noi 54kg vua,cao 167
583, Khách 6844: E cao 1m53. Nang 51 ki. Shop thay vừa size nao gui ve cho e nhé,1m53
584, Khách 6844: E 1m52  . Nang 51 ki. E măc dc size nào ạ,1m52
585, Khách 6844: E cao 1m52. Nang 51 ki. Mặc size ji vậy ạ,1m52
586,Khách 256: E muốn lấy mẫu này m70. 60 ký mặc size j dc ạ,m70
587,Khách 257: E cao 1m57 nặng 54kg ạ,1m57
588,Khách 258: Chị cao 1m58 nặng 48 kg,1m58
589,Khách 265: Dạ mình 41kg cao 1m50 ạ,1m50
590,Khách 272: Cao 1m64 nặng 56kg ạ,1m64
591,Khách 276: Mình cao 1m65 nặng 51kg ạ,1m65
592,Khách 281: 1m55 52 ký,1m55
593,Khách 283: Mình cao 1m64 nặng 55kg thì mặc sz nào ạ,1m64
594,Khách 287: 1m50 nặng 52kg,1m50
595,Khách 289: E cao m50 nặng 50kg,m50
596,Khách 299: Mk cao 1m58z nặng 60kg,1m58
597,Khách 308: Dạ e cao 1m60 nặng 48kg,1m60
598,Khách 311: Bộ này có sz cho ng 57kg m58 k sh,m58 
599,"Khách 316: 58 kí, cao 1m62",1m62
600,Khách 327: 1m6 62kg,1m6
601,Khách 328: M6 60 ki vừa k shop,M6 
602,Khách 331: mk nặng 50 cao m59,m59
603,Khách 360: M 42 kg cao m55 ah, cao m55
604,Khách 361: 47 kg  cao 150,cao 150
605,Khách 367: 1m68 60kg,1m68
606,Khách 368: E 42kg m58,m58
607,Khách 397: 1m55 50kg mặc size gì ak,1m55
608,"Khách 398: 62ki,1m49",1m49
609,Khách 399: E nặng 40kg cao 1m53,1m53
610,Khách 400: 45ki cao 1m6,1m6
611,Khách 409: Em mét 58 48kg,mét 58
612,"Khách 413: 48kg, 1m53",1m53
613,"Khách 416: Cao 1m65 nặng 65kg, bụng hơi mỡ  mặc vừa k ạ",1m65
614,Khách 421: 1m6 60 kg vừa khog ạ,1m6
615,Khách 424: Cao 1m62 nang 62kg mac vua k?,1m62
616,"Khách 426: 62kg ,1m57",1m57
617,Khách 437: Nang 54 cao 1m50,1m50
618,Khách 440: 1m47 45kg shop,1m47
619,Khách 442: 1m58 40kg mặc được ko shop,1m58
620,Khách 447: Cao 1m66 nặng 58jg,1m66
621,"Khách 452: 1m55,57kg vưa k ạh",1m55
622,"Khách 470: E 1m6 nặng 49kg eo e hơi to ạ, hì hì",1m6
623,Khách 476: 1m65 57kg ó size k shop,1m65
624,Khách 489: Khoảng 49Kg 1m58 ạ,1m58
625,Khách 489: Dạ em 48Kg 1m63 ạ,1m63
626,Khách 496: Dạ e 1m50 năg 39kg ạ,1m50
627,Khách 498: Mình cao 1m63 nặng 57 ký ạ,1m63
628,Khách 499: cao 1m61 nặng 57kg vừa k ạ,1m61
629,Khách 500: Mình cao 155 nặbg 49kg,cao 155
630,Khách 515: E M56-44kg shop ạ,M56
631,Khách 534: c mẫu cao nặng bnhiu ạ,Khách 534: c mẫu cao nặng bnhiu ạ
632,Khách 538: 1m53 . năng 48jg,1m53
633,"Khách 541: Cân nặng 46,5kg, chiều cao 157cm",157cm
634,Khách 2342: Em cao 1m60 nặng 47kg.,1m60
635,Shop: Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/thoitranghume/photos/a.142770340797826/155934769481383/?type=3&av=104247154650145&eav=AfbbYd5gfCKKum9KgLYWIWegOCv1qU4QiZ_rvg4bzpkRP1i2XsGwkbMsaSgtnJ__gXE&comment_id=203753341366192),m9
636,Khách 2359: Dạ 1m53 nặng 54kg có vừa không ạ,1m53
637,Khách 2361: Dạ e cao 1m50 nặng 40kg,1m50
638,Khách 2366: E 52kg cao 1m57,1m57
639,Khách 2370: E cao 1m60 nặng 47kg,1m60
640,Khách 2393: Dạ 51kg cao 1m52,1m52
641,Khách 2399: Mình cao m50 nặng 48kg,m50
642,Khách 2401: E 53kg 1m6 mang sz chi vừa ạ?,1m6
643,"Khách 2406: Dạ cao 1m59, nặng 50kg",1m59
644,"Khách 2407: 1m5, nặng 42,5kg ạ",1m5
645,Khách 2410: 161 cm 52 kg,161 cm
646,Khách 2410: Cao 161 52 kg, Cao 161
647,Khách 2412: Dạ e cao 1m50 nặng 55kg,1m50
648,Khách 2434: Cao 1m61 nặng 53kg  ạ,1m61
649,Khách 2435: mjh cao 1m61 nặng 51 ký,1m61
650,Khách 2438: 1m55 48kg ạ,1m55
651,Khách 2439: 1m6  - 63kg có vừa k ạ,1m6
652,Khách 2441: 1m53 nặng 44kg mặc Size j ạ,1m53
653,Khách 2449: Cao m57 nang 62 kg vua ko chi,Cao m57
654,"Khách 2456: 2 mẫu này có size dành cho 68kg, 1m60 ko ạ",1m60
655,Khách 2458: 1m7 nặng 63kg,1m7
656,Khách 2459: dạ e cao 1m58 nặng 63kg ạ,1m58
657,Khách 2472: 1m6 49kg eo 66,1m6
658,Khách 2482: 1m50 45kg chi lấy sz giúp em,1m50
659,Khách 2484: Này 1m55 nặng 55 ký vừa k ạ,1m55
660,"Khách 2489: Em cao 1m53, 55kg ạ",1m53
661,Khách 2502: Dạ cao 1m62 nặng 56kg mặc size gì ạ,1m62
662,Khách 2513: E 1m63 45kg ạ,1m63
663,Khách 2532: 50kg m60 mặc size gì ạ,m60 
664,Khách 2535: Minh cao 1m65 nặng 51kg,1m65
665,"Khách 2552: Khoảng 1,58m và 58kg ạ","1,58m"
666,Khách 2556: Cao 1m6 nặng 45kg,1m6
667,Khách 2557: Cao 1 m55 nặng 53 kg,1 m55
668,Khách 2564: mình cao 1m58 nặng 45kg thì mặc váy đến đâu ạ,1m58
669,Khách 2567: Cho mình hỏi cao 1m63 nặng 72 cân mặc vừa không ạ?,1m63
670,Khách 2568: 49kg cao 1m6 ạ,1m6
671,"Khách 2569: 1 M43  , 36 kg ạ",1 M43 
672,Khách 2571: e năng 49kg cao m52, cao m52
673,Khách 2584: Cao m6 nạng 55kg eo 73 ạ, Cao m6
674,Khách 2590: Mình 60kg cao 1m6,1m6
675,Khách 4572: Ny em Cao m7 nặng 51kg mặc size gì ạ,Cao m7
676,Khách 4579: Za e 49kg và 1m50 mặc  hợp hk cj,1m50
677,Khách 4589: 1m57 nặng 52.5 ạ,1m57
678,Khách 4591: Mình 52 kg cao 1m57 mặc sz gì hả dhop,1m57
679,Khách 4598: 1m55 59ki,1m55
680,Khách 4600: E 44kg 1m6,1m6
681,Khách 4603: Cao 1m45 nặng 38kg,1m45
682,Khách 4620: 65 ky cao một mét 62 mặt được không Em, một mét 62 
683,Khách 4625: Dạ vậy shop tư vấn giúp em với ạ. Em cao 1m6. Nặng 42kg,1m6
684,Khách 4629: 55kg cao m5, cao m5
685,"Khách 4632: À mà shop tư vấn cho e cái size đi, vì cái này e mua cho má e á, 1m56 nặng 52kg eo là 71",1m56
686,Khách 4633: E 1m5 43 44kg á c,1m5
687,Khách 4633: 44kg 1m5 ạ,1m5
688,Khách 4634: E 47kg 1m58 ạ,1m58
689,Khách 4637: 38kg 1m 45 vừa k ak,1m 45
690,Khách 4638: 1m60.60kg.eo 82,1m60
691,Khách 4638: 1m60.60kg..eo 82.mong 96,1m60
692,Khách 4641: 1m645kg sie nào vừa a,1m6
693,Khách 4667: 53kg 1m63,1m63
694,Khách 4669: E 65kg cao 1m56,1m56
695,Khách 4678: 1m55 50kg size nào shop?,1m55
696,Khách 4684: Cao 1m65 nặng 65kg ak,1m65
697,Khách 4685: Mình 1m62 mà 55kg,1m62
698,Khách 4685: Mình cao 162 nặng 57kg,cao 162
699,Khách 4694: 54kg cao 1m55 mặc dk ko ạ,1m55
700,"Khách 4704: 1m67, 68kg mặc vừa hk ạ",1m67
701,Khách 4705: 44kg 1m56,1m56
702,Khách 4715: Xl shop .e cao 1m52 nang 63kg .Co size ko shop,1m52
703,Khách 4716: Dạ e nặng 55kg cao 1m50 ak shop,1m50
704,Khách 4717: 158cm 60kg có vừa đk Ko b,158cm
705,Khách 4738: Cao 1m65 .nặng 55kg ạ,1m65
706,Khách 4740: 70ky cao 1m65,1m65
707,Khách 4742: 1m50 39kg,1m50
708,Khách 4742: 1m50 39kg mang size s vừa  k shop,1m50
709,Khách 4750: 1m50 nặng 45kg,1m50
710,Khách 4753: Da minh cao 1m 63 bà 49 kg,1m 63
711,Khách 4757: Em cao 1m60 55kg mặc size gì được ạ,1m60
712,Khách 4762: 1m50 năng 52kg mac size j dc,1m50
713,Khách 4770: Shop ơi váy này 1m62 60 kg mặc vừa ko ạ,1m62
714,Khách 4771: Cao 150  Cân nặng 38 kg,Cao 150
715,Khách 4808: Em cao m63 nặng 53kg thì mặc size gì ạ, cao m63 
716,Khách 4809: 1m55 năg 40kg vừa size S k shop,1m55
717,"Khách 4860: E 59kg ,1,60","1,60"
718,Khách 4869: E 1.58 49kg,1.58
719,Khách 4880: Mh cao 1m58 nặng 48kg,1m58
720,Khách 4884: 55ki. M58. Là size gi shop.,M58
721,"Khách 4885: bên mình  có  mẫu  1m55,nâng 60kg k",1m55
722,Khách 4888: E 1m59 49 cân,1m59
723,Khách 4931: shop ơi 1m58 nặng 40 vừa ko,1m58
724,Khách 4932: 1m50.nặng 64kí vừa k ạ,1m50
725,Khách 4936: 1m50 .nang 57ky vua ko,1m50
726,Khách 4948: 1m60 64 cân vừa kh ạ,1m60
727,Khách 4954: E 1 bộ size M nhé e 50kg m63,m63
728,Khách 4965: 1m50 50kg,1m50
729,Khách 4970: Dạ em 1m6 nhưng 56kg thì size l có vừa k ạ,1m6
730,Khách 4989: Mình 65kg cao 1m64,1m64
731,Shop: Bé mẫu cũng cao 1m64 nặng 47kg bận size S,1m64
732,Khách 5002: Mình cao 1m64 53 kí,1m64
733,Khách 5004: Cao mm55 năng 53,Cao mm55
734,Khách 5007: Em 1m52 nag 58kg,1m52
735,Khách 5009: Cân nặng 49kg cao 1m53,1m53
736,Khách 5011: Dạ shop ơi e cao 1m55 nặng 47 kg mặc size gì ạ,1m55
737,Khách 5017: 62kg cao 1m6,1m6
738,Khách 5021: 57kg cao 1m50,1m50
739,"Khách 5022: Mình 48kg,1m60 mặc vừa k ạ",1m60
740,Khách 5027: Em cao 1m50 nặng 44kg mặc size gì ạ,1m50
741,"Khách 5029: Nặng 53kg,cao 1.64",cao 1.64
742,Shop: dạ bé bên nỳ 49kg cao m58 mặc S vẫn vừa ạ,m58
743,Khách 5033: 1m58 48 kí size j shop chua tv e,1m58
744,Khách 5037: Mìn cao 1m6 nặng 45kg mặc size gì v shop,1m6
745,Khách 5038: E Cao m50. 49kg,Cao m50
746,Khách 5039: Mình 66kg cao 1m50 mặc vừa ko shop,1m50
747,Khách 5040: Cao 1.50 nặng 50kg,Cao 1.50
748,Khách 5057: 48kg 1m60 ạ,1m60
749,Khách 5057: chị mẫu cao bnhieu nặng bnhieu ạ,Khách 5057: chị mẫu cao bnhieu nặng bnhieu ạ
750,"Khách 5062: 1m6, 46kg ạ",1m6
751,Khách 5068: 1m55 45kg vừa k shop,1m55
752,Khách 5073: cao 1m53 nặng 48kg mặc size j shop,1m53
753,"Khách 5091: m50, 40kg",m50
754,Khách 5092: Em 153cm nhưng 55kg,153cm
755, Khách 5508: Chị 49ki cao 1m60 mặc đầm hoa s hay m.nếu còn size vừa chị thì chốt chị cái nha,1m60
756, Khách 5512: Làm phiền em cho chị hỏi xíu chị Eo 74 nặng 52kg cao 1m54 vừa ssize m hay L em,1m54
757, Khách 5512: Cho chị hỏi set váy hoa eo 74 cao 1m54 nặng 52kg mặc size nào vừa em,1m54
758," Khách 5512: Chị 53kg cao 1m53 , em còn size m nếu vừa cho chị với. Cảm ơn e",1m53
759, Khách 5512: Set này 46kg cao 1m5 còn k em,1m5
760, Khách 5530: Mình cao 1m6 nặng 52kg còn size k ạ,1m6
761, Khách 5536: Cao 1m52 nặng 47 đến 48 kg,1m52
762, Khách 5536: M cao 1m52  nặng 48 kg,1m52
763, Khách 5546: 1m62 nặng 51 kí,1m62
764, Khách 5546: Cao 1m62 nặng 51 kí nha,1m62
765," Khách 5561: 1m58, 50 cân",1m58
766," Khách 5561: Sz 1m58 ,49 cân",1m58
767, Khách 5567: E cao 1m 53 nặng 45kg, 1m 53
768, Khách 5567: Mình cao 1m53 nặng 45 kg mặc sz nào vậy ạ,1m53
769, Khách 5572: 1m55 56kg size may ạ,1m55
770, Khách 5601: 1m62 nặng 54kg,1m62
771, Khách 5601: Size 1m62 54kg,1m62
772, Khách 8038: Lấy ch 2 mẫu này . Size cho ng tầm 55kg/1m50.,1m50
773, Khách 8060: Hai mã này mình cao 170cm nặng 60kg,170cm
774, Shop: dạ 1m53 41kg nha c,1m53
775, Khách 8060: Shop cho minh hoi bạn mẫu cao m bn và nặng bn kí v shop, Khách 8060: Shop cho minh hoi bạn mẫu cao m bn và nặng bn kí v shop
776," Khách 8082: Feedback cho nhà Hằng vì cái đầm quá đẹp đây, mua bên em nhiều lắm luôn mà hầu như mẫu nào cũng ưng, Chị 1.67m 57kg mà mẫu nào bên em về C mặc cũng vừa , ngày nào cũng nhận hàng mà shipper quen mặt luôn rồi nè",1.67m 
777, Khách 8094: Mình cao 1m62 nặng 53ky,1m62
778, Khách 8098: E cao 1m65 nặng 55kg,1m65
779, Khách 8105: Chị 48kg cao 1.53 nha,cao 1.53
780, Khách 8108: Size 1m51- 43kg ạ,1m51
781, Khách 8112: Mình cao 1m58 năng 51kg mặc sz M vừa ko ạ,1m58
782, Khách 8125: Dam nay cao 1m61 57kg.eo 75 vua kg c.e 1cai nha,1m61
783," Khách 8134: có size L ko shop, cao 1m54, nặng 56 kg",1m54
784," Khách 10022: Mình, 55 kg cao một méc 61",một méc 61
785, Khách 10054: E cao 1m6 nặg 55kg sz j vậy ạ,1m6
786, Khách 10054: E 55kg cao 1m6 ạ,1m6
787, Khách 10068: 53kí/cao 1m57//eo 71,1m57
788, Khách 10068: E 54ki cao 1m57/eo 71,1m57
789, Khách 10130: E 53 ky 1m 6, 1m 6
790," Khách 10134: Mình 60kg, cao m66 thì có vừa sz L ko? Shop tv giúp mình nha",cao m66
791, Khách 10140: C lấy đầm và vòng cổ luôn nha. Chi cao 1m57 va nặng 49kg,1m57
792," Khách 10140: Ak chi nhầm, chi cao 1m57, nặng 47kg",1m57
793," Khách 10140: C cao 1m57, nặng 57kg nhe",1m57
794," Khách 10146: Mình cao 1m58, năng 52kg",1m58
795, Shop: MẪU 1M53 NẶNG 43KG Ạ,1M53
796, Khách 10194: Đầm này 57kg-1m63 vừa ko ạ,1m63
797, Khách 10196: 1m52 47kg size gì ak shop,1m52
798, Khách 10196: 1m52 47kg size gì ak shop ui ship,1m52
799, Khách 10203: E 1m5 46kg,1m5
